,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
0,"Under Biden's administration, we have another great year, we have good relations with other countries, low gas prices, and a historically low unemployment rate. So let's keep up the good work, Biden 2024, like this comment if you agree.",UgyaiRArx1L0woMsEYt4AaABAg,http://www.youtube.com/channel/UC1Xvv3vVIGjLRVlGaedgakQ,@Fasince1994,0,0,2024-01-26 04:52:13+00:00,sJs_64OUpEs,0,"2023, in 7 minutes",2024-01-26
1,Who was the woman in the last clip speaking about humankind?,UgxWCNZh_NY_MGVMPJN4AaABAg,http://www.youtube.com/channel/UCLKTjmpqBBS9Cfbx3_93LrA,@ouareaugirl,0,0,2024-01-26 01:49:53+00:00,sJs_64OUpEs,0,"2023, in 7 minutes",2024-01-26
2,BRO what free palestine this is non sense,Ugy0OPog6QJXjsTVt_p4AaABAg,http://www.youtube.com/channel/UCiddoYjScJkWAw9kLpctXsw,@user-bk6xe7ib5u,0,0,2024-01-25 22:48:09+00:00,sJs_64OUpEs,0,"2023, in 7 minutes",2024-01-25
3,Wake up……Jesus is coming……..,Ugy1gbn1VpiZHHOo5jJ4AaABAg,http://www.youtube.com/channel/UCsCblH_TJBUVdtSNhwxG8kQ,@s.k.vi4life832,0,0,2024-01-25 22:25:51+00:00,sJs_64OUpEs,0,"2023, in 7 minutes",2024-01-25
4,"honestly, despite all the chaos on social media and real life, i was able to do a lot of travelling in 2023 which im super grateful for. :)",Ugxwjrd5P3DpIvNMnUt4AaABAg,http://www.youtube.com/channel/UCmLuCGyRgJFHnL6EuBrWj9Q,@jess.azuria,0,0,2024-01-25 21:05:49+00:00,sJs_64OUpEs,0,"2023, in 7 minutes",2024-01-25
5,We will bury ourselves,UgwllfH5s8jrLMvPOYt4AaABAg,http://www.youtube.com/channel/UCre7enBAexSG0K3eGHCVZdQ,@lavbusarac2547,0,0,2024-01-25 20:18:38+00:00,sJs_64OUpEs,0,"2023, in 7 minutes",2024-01-25
6,Ukraine will live!,Ugx0Nqfre-6sxqFj7iN4AaABAg,http://www.youtube.com/channel/UCT3v43WLIeOdwJl3yw2Fbfg,@Some_Random_stuff876,0,0,2024-01-25 16:41:06+00:00,sJs_64OUpEs,0,"2023, in 7 minutes",2024-01-25
7,Free palestine❤,UgzygYn4Rp5SLUSChy54AaABAg,http://www.youtube.com/channel/UCDgS5u_42xYNXiR4XLmYAFw,@anasahmed5832,0,0,2024-01-25 10:25:52+00:00,sJs_64OUpEs,0,"2023, in 7 minutes",2024-01-25
8,I feel more and more like Leela from The Fifth Element when she was learning the alphabet ((,UgyAhy14M7a7b480d7d4AaABAg,http://www.youtube.com/channel/UCE8c23OD5Nxucq1T7z7CS7w,@psevdonim257,0,0,2024-01-25 07:55:47+00:00,sJs_64OUpEs,0,"2023, in 7 minutes",2024-01-25
9,"Title should've been, ""USA in 2023 for 7mins.""",Ugw1p97hagoNyum7ljd4AaABAg,http://www.youtube.com/channel/UCg1Mo5I9n5ckoqWKWFhsjSg,@rdpacis7822,0,1,2024-01-24 22:51:48+00:00,sJs_64OUpEs,0,"2023, in 7 minutes",2024-01-24
