,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
0,i miss persona so much,Ugx0zwIS6uriyCQCQv14AaABAg,http://www.youtube.com/channel/UCs9iTvqDxkfEUuudxrzaH5g,@mochii_,0,0,2024-01-19 14:53:36+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2024-01-19
1,Mid,UgyvEkCTMAqU1iDsdtV4AaABAg,http://www.youtube.com/channel/UCyid1F0mBLmxYi2pTiVSTfw,@leonader9465,0,0,2024-01-19 00:41:36+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2024-01-19
2,🚬,Ugx6LWyI26fIMtnQWKl4AaABAg,http://www.youtube.com/channel/UCy8nFQykrxg-xVQMME-i8Ig,@eleduardo3581,0,0,2024-01-10 07:17:45+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2024-01-10
3,When persona 5 i love it favorite of multiverse anime u.a.c gotta phantom thieves,UgzFUFGouCUHzkDL2JR4AaABAg,http://www.youtube.com/channel/UCEN1_j5_PhsTLFVTyj0HYZA,@ultimateallstarclan6855,0,0,2024-01-05 06:47:58+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2024-01-05
4,スマブラspなら、リンク、ジョーカー、クラウド使ってたわw,Ugzaca0s0TbdHhYEJEx4AaABAg,http://www.youtube.com/channel/UCJ7RsXle8t7F-Xal-rrZpsw,@user-wc7sr5bh2e,0,1,2024-01-02 23:09:39+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2024-01-02
5,*cries in 1:18 *,UgxtwWk5pg7zHJgvT4h4AaABAg,http://www.youtube.com/channel/UC-cx_bQuvQFXi9gW0Ux1xsA,@LegendThaInkling-qb4tp,0,1,2023-12-31 19:27:28+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-12-31
6,Ananas,Ugyndu0QCRtQ6c6_--B4AaABAg,http://www.youtube.com/channel/UCDC3Q_DW-Li74jJVxFivVRw,@user-pe9jo1hp7s,0,0,2023-12-28 21:31:14+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-12-28
7,Weak. Another reason why p4 is goat,UgxIJ4bMygT67Kp95jl4AaABAg,http://www.youtube.com/channel/UCYjESdwnhzfEu1dJBYchDGw,@jolt187,0,1,2023-12-25 02:28:38+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-12-25
8,"Why do I love this game after one 8 hour play session of pain and suffering?
Loving the song tho",Ugy42_yJbFoSei4sDUh4AaABAg,http://www.youtube.com/channel/UCPfrIxr6DVNRXHFqpyDpyow,@SeaHarrierFRS.1,1,1,2023-12-17 23:31:56+00:00,vWWy7V9rCrA,1,Persona 5 Royal - Official Opening Cinematic Trailer,2023-12-17
9,"If they ever do a live action of Persona 5, I would love to play Ren/Joker. I feel connected to him and we both look similar. Looks aside, as an aspiring actor, i believe i could embody an essence of the character when it comes to being there for other people, always caring for my friends more so than myself.",UgwYhz5h4BYIWyuee2l4AaABAg,http://www.youtube.com/channel/UCtcm4hLktkX_8zTmom0WDNQ,@patrickmartinez6464,0,0,2023-12-13 08:09:32+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-12-13
10,POV: You are about to spend the best 100+ hours of your gaming life this year,Ugw8KGQMkiq-5i6yPsl4AaABAg,http://www.youtube.com/channel/UCWizMlt1poTvWGRxcw6q6jw,@gabymontesvielma7495,1,2,2023-12-10 18:27:13+00:00,vWWy7V9rCrA,1,Persona 5 Royal - Official Opening Cinematic Trailer,2023-12-10
11,"My all-time favorite videogame that introduced me to my favorite franchise 🎭
🩵💛❤️",UgyvcM01t3vpmXjWB794AaABAg,http://www.youtube.com/channel/UCO6ycdTKoiS6d-kWNbcpStQ,@JokerYuMakoto,1,4,2023-12-03 19:45:06+00:00,vWWy7V9rCrA,1,Persona 5 Royal - Official Opening Cinematic Trailer,2023-12-03
12,❤❤❤🎧🎤🇲🇽,Ugx8wA_J1SlSBQgXQat4AaABAg,http://www.youtube.com/channel/UC_54jIaDDwBTgT4wkCYngtg,@disasterrony8087,1,0,2023-11-29 01:05:57+00:00,vWWy7V9rCrA,1,Persona 5 Royal - Official Opening Cinematic Trailer,2023-11-29
13,"Fox is my faovurite character, this Game is a Art",Ugyq-oy5V6sEtCSj_ZR4AaABAg,http://www.youtube.com/channel/UCg76RZkCOiO-TELsJ1x3mdQ,@Sanguinius-papu-de-papus,0,0,2023-11-23 07:41:52+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-11-23
14,i miss it sm,UgxI_irxXkHTD2kcWKV4AaABAg,http://www.youtube.com/channel/UCCOBCspPfMfhm_f6H_pgtgg,@xenokizu,0,0,2023-11-22 01:47:03+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-11-22
15,whats with improved persona versions having worse openings than their original releases? lmao,Ugxr5Hf5c7Fo8Q43eiF4AaABAg,http://www.youtube.com/channel/UCz5Ff50gbYKgd9uuYiuxF6g,@malsocio,1,3,2023-10-30 00:21:15+00:00,vWWy7V9rCrA,1,Persona 5 Royal - Official Opening Cinematic Trailer,2023-10-30
16,I'm not afraid to say that the Persona series is the most impactful series I've played in my life and I'm yet to play 3.,UgwPayycSiJee_oNoKV4AaABAg,http://www.youtube.com/channel/UCmh-fZCxHNQJ_4jYfkRGYhg,@ZoltanvamosOfficial,0,2,2023-10-25 09:54:18+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-10-25
17,0:57 kasumi hitting the ⬆️⬆️⬇️⬇️⬅️➡️⬅️➡️🅱️🅰️START,UgxuSD7qK-RdbtQY9vF4AaABAg,http://www.youtube.com/channel/UCzgrJ2_4dTz0Sgy6BE5nBcw,@saturnisnotgay,0,2,2023-10-20 13:18:04+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-10-20
18,Kasumi really went: KIRYU-CHAN and started breakdancing.,UgxXtjq2yx2mWKCulGB4AaABAg,http://www.youtube.com/channel/UCo2SfIe25tanIjJKTTvT2MQ,@joshuasiebenhofer2452,0,0,2023-10-14 15:01:43+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-10-14
19,Imagine how painfull the diamond part would be,Ugxak4HVFSHpoHHpPaF4AaABAg,http://www.youtube.com/channel/UCXEIKtNRA0MsLnN1kJE8iLg,@ihaveanewchannle1188,0,1,2023-10-14 12:36:08+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-10-14
20,Nah’ for real ease your hand if you are exited for Persona 6.,Ugx2cEoV0VT-P8v3ie94AaABAg,http://www.youtube.com/channel/UCBpDt3Ys8tADS9DKROODQZw,@CJBilly-xn6jg,1,5,2023-09-30 03:03:14+00:00,vWWy7V9rCrA,1,Persona 5 Royal - Official Opening Cinematic Trailer,2023-09-30
21,Personazilla in theaters now! Watch as your beloved hero’s destroy Japan!,Ugz1oX6rrzZVnLuGpYF4AaABAg,http://www.youtube.com/channel/UCBpDt3Ys8tADS9DKROODQZw,@CJBilly-xn6jg,0,0,2023-09-30 03:02:05+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-09-30
22,0:08,UgxI57ouwzHV2LLTTzx4AaABAg,http://www.youtube.com/channel/UCIKxPULB0wjbRaPwtmhCSIw,@bechmk8442,1,2,2023-09-25 18:30:29+00:00,vWWy7V9rCrA,1,Persona 5 Royal - Official Opening Cinematic Trailer,2023-09-25
23,This intro will give me chills for the rest of my life. What an amazing game. 10/10,UgwJnqzEyNpdSjRrPRN4AaABAg,http://www.youtube.com/channel/UCXQmC_ir21rps9B2cweGI_A,@colepatterson6408,0,2,2023-09-10 19:11:42+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-09-10
24,1:30 ouch.,Ugy3vb7IfO6r-0crYNx4AaABAg,http://www.youtube.com/channel/UCaFqOJPoezql6DnTADj0Bbg,@yum-yumi,0,0,2023-09-10 06:46:38+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-09-10
25,pov: its the end of school and you and your friends are walking out to the exit,UgyzmYC0Ylngp-dIHJ94AaABAg,http://www.youtube.com/channel/UCMmRi-lhO_gsq-2thZPz0wQ,@diablo_winters,0,1,2023-09-01 19:33:39+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-09-01
26,This is one of the best animated trailers I have ever seen.,UgwER6rh3r8cQnrl0Vh4AaABAg,http://www.youtube.com/channel/UCHcv5ihOZpHnn3GlyCV9jog,@YSL8704,0,2,2023-08-30 22:59:09+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-08-30
27,whats the song called,UgzZFK0wrvIPA5frsAZ4AaABAg,http://www.youtube.com/channel/UCfacn38bfzi18TiJ42c2nmw,@black-peashooter,0,0,2023-08-27 10:35:02+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-08-27
28,FOR REAL!!,UgxFWXak58fcejT9UMx4AaABAg,http://www.youtube.com/channel/UCRL_Ij_9axSzya6ZD4T_PaA,@DinCam424,0,0,2023-08-24 18:40:41+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-08-24
29,This game was a masterpiece,UgyKHy0IWVrYI3k0tTV4AaABAg,http://www.youtube.com/channel/UCbmpmBCxePpTCA5KNj275ew,@megadudetp,1,2,2023-08-22 13:57:26+00:00,vWWy7V9rCrA,1,Persona 5 Royal - Official Opening Cinematic Trailer,2023-08-22
30,Game is a masterpiece,UgwLhSex_OZsv06H5lR4AaABAg,http://www.youtube.com/channel/UC6PTKCTprd__eKrpaK95WHg,@psp785,0,3,2023-08-18 11:47:34+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-08-18
31,Colors flying high > Wake up get up get out there,UgwBHSxwOAWxGwgbn2F4AaABAg,http://www.youtube.com/channel/UC_1t1A3L_KevwOZcc-CuKdg,@DD-rn4gi,1,2,2023-08-17 19:58:37+00:00,vWWy7V9rCrA,1,Persona 5 Royal - Official Opening Cinematic Trailer,2023-08-17
32,"evey time i see this intro makes me feel sad and nostalgic, anyone who has never played it could consider it a happy intro, but the truth is that all of them have traumas u.u",UgyjBEPfAUXsFjIrI_t4AaABAg,http://www.youtube.com/channel/UCY9ADJ6_2DQNPbEn4gyQreg,@noble7abdiel,0,0,2023-08-06 16:25:15+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-08-06
33,I've just finished the game. It has stolen my ❤,UgxF_Ye5q8uVdYxeeUJ4AaABAg,http://www.youtube.com/channel/UCpmOZF34WMdy5E6k0fo9Qwg,@umas6100,1,5,2023-08-04 18:50:15+00:00,vWWy7V9rCrA,1,Persona 5 Royal - Official Opening Cinematic Trailer,2023-08-04
34,Ihan paska.,UgzpobunGJKCAuQ0v7N4AaABAg,http://www.youtube.com/channel/UCHOg-8eq6NeS7pA5kWXic5g,@lop9243,0,0,2023-08-02 20:33:44+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-08-02
35,18時のテーマ,UgzByYZGAHmxYNtgo4N4AaABAg,http://www.youtube.com/channel/UC96FqU3DnTDPsJQAxUvlvkw,@user-vz8my1eg1r,0,0,2023-08-02 15:20:42+00:00,vWWy7V9rCrA,0,Persona 5 Royal - Official Opening Cinematic Trailer,2023-08-02
